0.007324,0,0.007324,0,0.007324,0
0.223389,2.32E-05,0.205078,4.15E-05,0.007324,2.39E-04
0.450439,4.64E-05,0.412598,8.67E-05,0.007324,4.88E-04
0.676269,6.84E-05,0.618896,0.000127,0.007324,7.36E-04
0.900879,9.64E-05,0.827637,0.000168,0.006104,9.89E-04
1.130371,0.000116,1.035156,0.000211,0.006104,0.001238
1.356201,0.00014,1.242676,0.000253,0.006104,0.001486
1.582031,0.000165,1.448974,0.000298,0.006104,0.001738
1.807861,0.000188,1.655273,0.000341,0.007324,0.001985
2.03247,0.000214,1.862793,0.000386,0.007324,0.002236
2.259521,0.000237,2.071533,0.000424,0.007324,0.002484
2.487793,0.000258,2.280273,0.000466,0.007324,0.002734
2.713623,0.000283,2.486572,0.000511,0.008545,0.002985
2.939453,0.000306,2.692871,0.000554,0.008545,0.00323
3.165283,0.000331,2.901611,0.000594,0.008545,0.003481
3.391113,0.000355,3.109131,0.000636,0.009766,0.003729
3.616943,0.000381,3.31665,0.000677,0.009766,0.003978
3.842773,0.000405,3.52539,0.00072,0.009766,0.004
4.068603,0.000428,3.729248,0.000768,0.009766,0.003997
4.295654,0.00045,3.936767,0.000812,0.009766,0.003994
4.521484,0.000472,4.144287,0.00085,0.009766,0.003993
