0.007324,0,0.007324,0,0.007324,0
0.223389,2.32E-05,0.205078,3.91E-05,0.007324,0.000238
0.450439,4.52E-05,0.413818,8.18E-05,0.008545,0.000486
0.676269,6.84E-05,0.617676,0.000128,0.007324,0.000737
0.9021,9.40E-05,0.826416,0.00017,0.006104,0.00099
1.12915,0.000118,1.031494,0.000215,0.006104,0.001238
1.35376,0.000143,1.239014,0.000259,0.007324,0.001487
1.58081,0.000167,1.447754,0.0003,0.007324,0.001737
1.80542,0.000192,1.654053,0.000342,0.007324,0.001985
2.033691,0.000212,1.861572,0.000386,0.007324,0.002236
2.260742,0.000236,2.069092,0.000426,0.008545,0.002483
2.485351,0.000262,2.27539,0.000472,0.008545,0.002734
2.713623,0.000282,2.48291,0.000514,0.008545,0.002983
2.937011,0.00031,2.690429,0.000553,0.008545,0.003232
3.164062,0.000333,2.897949,0.000597,0.010986,0.003479
3.392334,0.000354,3.105468,0.00064,0.012207,0.003727
3.619384,0.000377,3.311767,0.000685,0.012207,0.003976
3.843994,0.000403,3.518066,0.00073,0.012207,0.004004
4.068603,0.00043,3.725586,0.000769,0.012207,0.004001
4.293212,0.000454,3.933105,0.000811,0.012207,0.003999
4.521484,0.000474,4.136962,0.000858,0.012207,0.003998
