0.007324,0,0.007324,0
0.196533,4.88E-05,0.234375,1.59E-05
0.396728,0.000101,0.490723,4.88E-06
0.593262,0.000153,0.736084,1.22E-05
0.791016,0.000205,0.983887,1.22E-05
0.987549,0.000259,1.235351,9.77E-06
1.187744,0.000309,1.480713,1.71E-05
1.383056,0.000364,1.723633,2.44E-05
1.577148,0.00042,1.970215,2.56E-05
1.77124,0.000475,2.2229,2.44E-05
1.968994,0.000527,2.463379,3.42E-05
2.166748,0.000579,2.716064,3.30E-05
2.369385,0.000626,2.958984,4.03E-05
2.559814,0.000685,3.209228,3.78E-05
2.755127,0.00074,3.452148,4.64E-05
2.95166,0.000793,3.703613,4.27E-05
3.150634,0.000844,3.946533,5.00E-05
3.343506,0.000903,4.191894,5.62E-05
3.521728,0.000973,4.434814,6.10E-05
3.713379,0.001031,4.680175,6.71E-05
3.919677,0.001072,4.924316,7.20E-05
