0.007324,0,0.007324,0,0.007324,0
0.223389,2.08E-05,0.223389,2.56E-05,0.223389,2.32E-05
0.447998,5.00E-05,0.449219,4.88E-05,0.449219,5.00E-05
0.673828,7.32E-05,0.673828,7.32E-05,0.676269,6.84E-05
0.9021,9.52E-05,0.900879,9.64E-05,0.9021,9.52E-05
1.12793,0.00012,1.12915,0.000116,1.12915,0.000117
1.35498,0.00014,1.35376,0.000144,1.35498,0.000142
1.58081,0.000167,1.58081,0.000167,1.582031,0.000164
1.80542,0.00019,1.80542,0.00019,1.80542,0.00019
2.03247,0.000214,2.03125,0.000216,2.03247,0.000215
2.259521,0.000238,2.260742,0.000234,2.260742,0.000234
2.485351,0.000262,2.485351,0.000262,2.485351,0.000262
2.712402,0.000284,2.711181,0.000288,2.713623,0.000283
2.938232,0.000306,2.937011,0.000309,2.937011,0.00031
3.165283,0.000331,3.162841,0.000336,3.165283,0.000331
3.389892,0.000358,3.389892,0.000359,3.391113,0.000354
3.619384,0.000375,3.616943,0.000378,3.616943,0.000381
3.845214,0.000402,3.843994,0.000402,3.842773,0.000405
4.068603,0.000426,4.068603,0.000427,4.071045,0.000425
4.294433,0.000454,4.291992,0.000455,4.296875,0.000449
4.519043,0.000476,4.519043,0.000476,4.521484,0.000471
